"Time","youtube password sharing","youtube shared membership","youtube family plan"
"2024-01-01",1,0,27
"2024-02-01",1,0,24
"2024-03-01",1,0,25
"2024-04-01",0,0,25
"2024-05-01",1,0,21
"2024-06-01",0,0,31
"2024-07-01",0,0,27
"2024-08-01",0,0,29
"2024-09-01",2,0,33
"2024-10-01",1,0,28
"2024-11-01",1,0,31
"2024-12-01",1,0,36
"2025-01-01",0,0,32
"2025-02-01",0,0,30
"2025-03-01",0,0,30
"2025-04-01",0,0,27
"2025-05-01",0,0,29
"2025-06-01",1,0,34
"2025-07-01",2,0,77
"2025-08-01",2,0,49
"2025-09-01",1,0,50
"2025-10-01",1,0,50
"2025-11-01",2,0,77
"2025-12-01",2,1,100
"2026-01-01",2,1,88
"2026-02-01",0,0,59